,Unnamed: 0,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
1,1,Jasmine,Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,G,6,100.0,0.25,0.0,4,5,1,0,3,0,0,0,Sun,1,0,68,30:00:00,5846,9518,e83ca6b1-1257-47d2-9153-ed2c72ad85ab,2015-06-05T23:00:00+00:00,Jasmine Thomas
4,4,Elizabeth,Williams,c8672dba-0deb-4cf1-8304-82365865edaa,C-F,5,75.0,0.2,0.0,1,5,2,0,0,0,0,0,Sun,1,0,68,10:00,5846,9518,e83ca6b1-1257-47d2-9153-ed2c72ad85ab,2015-06-05T23:00:00+00:00,Elizabeth Williams
11,11,Chelsea,Gray,ca6b54e3-612d-4523-9582-b88e675f58de,G,4,0.0,0.5,0.0,1,2,1,0,2,0,0,1,Sun,1,0,68,9:00,5846,9518,e83ca6b1-1257-47d2-9153-ed2c72ad85ab,2015-06-05T23:00:00+00:00,Chelsea Gray
12,12,Alyssa,Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,F,13,83.3,0.5,0.0,3,7,3,0,3,0,0,0,Sun,1,0,68,32:00:00,5846,9518,e83ca6b1-1257-47d2-9153-ed2c72ad85ab,2015-06-05T23:00:00+00:00,Alyssa Thomas
24,24,Emma,Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,C,8,0.0,0.4,0.0,2,7,2,1,3,0,0,2,Mystics,0,1,73,31:00:00,5846,9518,e83ca6b1-1257-47d2-9153-ed2c72ad85ab,2015-06-05T23:00:00+00:00,Emma Meesseman
55,55,Damiris,Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,C,0,0.0,0.0,0.0,2,4,0,0,4,0,0,3,Lynx,1,1,83,19:00,9020,19356,8c504e6b-663d-40a1-a902-2cae4d9c4470,2015-06-06T00:00:00+00:00,Damiris Dantas
62,62,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,9,100.0,0.33299999999999996,20.0,1,3,1,1,2,0,0,0,Shock,0,0,75,17:00,9020,19356,8c504e6b-663d-40a1-a902-2cae4d9c4470,2015-06-06T00:00:00+00:00,Riquna Williams
75,75,Betnijah,Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,G-F,4,0.0,1.0,0.0,0,0,0,0,1,0,0,0,Sky,1,1,95,3:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Betnijah Laney
81,81,Courtney,Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,G,13,100.0,0.4,50.0,4,5,0,2,3,0,0,1,Sky,1,1,95,24:00:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Courtney Vandersloot
82,82,Allie,Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,G,4,0.0,0.25,0.0,5,1,1,1,4,0,0,2,Sky,1,1,95,18:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Allie Quigley
84,84,Cheyenne,Parker,4a97e708-71e5-4d58-b1e8-883adf027925,F,8,0.0,0.8,0.0,0,4,0,1,2,0,0,2,Sky,1,1,95,11:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Cheyenne Parker
94,94,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,4,40.0,0.16699999999999998,0.0,1,8,3,1,4,0,0,2,Fever,0,0,72,15:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Natasha Howard
97,97,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,9,75.0,0.5,0.0,1,4,1,0,2,0,0,2,Fever,0,0,72,18:00,8123,17500,fea52768-68e5-4af0-92f1-0c415c7b71a0,2015-06-06T00:30:00+00:00,Layshia Clarendon
106,106,Leilani,Mitchell,7b8d55dd-2f12-46fb-9051-ade709b96dd5,G,11,100.0,0.375,50.0,3,1,0,1,3,0,0,0,Mercury,1,1,76,29:00:00,11789,18055,cae9c07b-96d8-48c4-9ad8-f280218846be,2015-06-06T02:00:00+00:00,Leilani Mitchell
110,110,Candice,Dupree,411a199b-df5a-4ce5-ad15-386dd17e3f4b,F,14,100.0,0.5,0.0,2,9,3,4,3,0,0,1,Mercury,1,1,76,38:00:00,11789,18055,cae9c07b-96d8-48c4-9ad8-f280218846be,2015-06-06T02:00:00+00:00,Candice Dupree
117,117,Dearica,Hamby,693b6941-8999-40bb-a3a2-b77c34f1dc78,F,10,50.0,0.429,100.0,1,5,2,0,1,0,0,1,Stars,0,0,71,25:00:00,11789,18055,cae9c07b-96d8-48c4-9ad8-f280218846be,2015-06-06T02:00:00+00:00,Dearica Hamby
125,125,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,2,0.0,0.2,0.0,1,5,1,1,5,0,0,1,Fever,1,0,69,27:00:00,9034,18165,2ebfa00b-5e4d-4e56-905b-af8baee748b5,2015-06-06T23:00:00+00:00,Natasha Howard
128,128,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,5,0.0,0.25,50.0,3,3,0,0,4,0,0,2,Fever,1,0,69,26:00:00,9034,18165,2ebfa00b-5e4d-4e56-905b-af8baee748b5,2015-06-06T23:00:00+00:00,Layshia Clarendon
142,142,Damiris,Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,F,8,0.0,0.8,0.0,0,5,2,2,5,0,0,1,Lynx,0,1,78,22:00,9034,18165,2ebfa00b-5e4d-4e56-905b-af8baee748b5,2015-06-06T23:00:00+00:00,Damiris Dantas
159,159,Emma,Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,C,16,100.0,0.462,0.0,3,9,1,0,2,0,0,0,Mystics,1,1,67,31:00:00,7400,20290,d288c503-8651-4790-ae08-c5c7a0f6650f,2015-06-06T23:00:00+00:00,Emma Meesseman
181,181,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,2,0.0,0.25,0.0,1,1,0,1,2,0,0,1,Shock,1,1,101,10:00,7256,17839,ea3dd788-1700-47ca-abc4-16eaea61c07a,2015-06-07T00:00:00+00:00,Riquna Williams
188,188,Courtney,Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,G,11,0.0,0.5,33.3,6,5,2,1,5,0,0,1,Sky,0,0,93,36:00:00,7256,17839,ea3dd788-1700-47ca-abc4-16eaea61c07a,2015-06-07T00:00:00+00:00,Courtney Vandersloot
189,189,Betnijah,Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sky,0,0,93,0,7256,17839,ea3dd788-1700-47ca-abc4-16eaea61c07a,2015-06-07T00:00:00+00:00,Betnijah Laney
191,191,Allie,Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,G,4,0.0,0.5,0.0,2,0,0,2,0,0,0,1,Sky,0,0,93,22:00,7256,17839,ea3dd788-1700-47ca-abc4-16eaea61c07a,2015-06-07T00:00:00+00:00,Allie Quigley
193,193,Cheyenne,Parker,4a97e708-71e5-4d58-b1e8-883adf027925,F,2,0.0,0.25,0.0,0,4,1,0,3,0,0,2,Sky,0,0,93,12:00,7256,17839,ea3dd788-1700-47ca-abc4-16eaea61c07a,2015-06-07T00:00:00+00:00,Cheyenne Parker
210,210,Alysha,Clark,b478ebc6-8b1f-4d39-9707-048d24a88c26,F,11,0.0,1.0,100.0,2,6,1,0,2,0,0,0,Storm,1,1,86,18:00,9686,17072,a1365784-ec32-4fa0-a735-f4cbe4be65f1,2015-06-07T01:00:00+00:00,Alysha Clark
211,211,Jewell,Loyd,0825c65d-b903-4dd3-8206-e5f7d31bb2b8,G,7,50.0,0.33299999999999996,0.0,3,7,1,1,2,0,0,0,Storm,1,1,86,27:00:00,9686,17072,a1365784-ec32-4fa0-a735-f4cbe4be65f1,2015-06-07T01:00:00+00:00,Jewell Loyd
219,219,Nneka,Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sparks,0,0,61,0,9686,17072,a1365784-ec32-4fa0-a735-f4cbe4be65f1,2015-06-07T01:00:00+00:00,Nneka Ogwumike
234,234,Jasmine,Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,G,13,100.0,0.4,33.3,2,6,1,7,2,0,0,5,Sun,0,1,75,24:00:00,8358,18047,9a539ef0-67a3-45a2-80f8-20d18bbe8dea,2015-06-07T19:00:00+00:00,Jasmine Thomas
237,237,Chelsea,Gray,ca6b54e3-612d-4523-9582-b88e675f58de,G,14,100.0,0.33299999999999996,100.0,1,0,0,1,1,0,0,2,Sun,0,1,75,15:00,8358,18047,9a539ef0-67a3-45a2-80f8-20d18bbe8dea,2015-06-07T19:00:00+00:00,Chelsea Gray
238,238,Alyssa,Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,F,5,75.0,0.25,0.0,1,1,1,1,6,0,0,2,Sun,0,1,75,15:00,8358,18047,9a539ef0-67a3-45a2-80f8-20d18bbe8dea,2015-06-07T19:00:00+00:00,Alyssa Thomas
242,242,Elizabeth,Williams,c8672dba-0deb-4cf1-8304-82365865edaa,C-F,0,0.0,0.0,0.0,0,4,1,1,2,0,0,0,Sun,0,1,75,11:00,8358,18047,9a539ef0-67a3-45a2-80f8-20d18bbe8dea,2015-06-07T19:00:00+00:00,Elizabeth Williams
262,262,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,4,0.0,0.4,0.0,0,1,0,0,4,0,0,0,Fever,0,0,79,15:00,5663,19812,dfc5b37b-eaae-4c78-9352-4dc9f6831b37,2015-06-09T23:00:00+00:00,Natasha Howard
268,268,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,14,100.0,0.5,66.7,2,5,1,2,3,0,0,1,Fever,0,0,79,28:00:00,5663,19812,dfc5b37b-eaae-4c78-9352-4dc9f6831b37,2015-06-09T23:00:00+00:00,Layshia Clarendon
282,282,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,11,0.0,0.667,33.3,0,6,1,2,1,0,0,1,Shock,1,1,68,21:00,4149,17839,1c310b95-0b91-4bce-ab06-b3c273dfe9cf,2015-06-10T00:00:00+00:00,Riquna Williams
287,287,Jewell,Loyd,0825c65d-b903-4dd3-8206-e5f7d31bb2b8,G,2,100.0,0.0,0.0,1,4,1,0,4,0,0,1,Storm,0,0,45,25:00:00,4149,17839,1c310b95-0b91-4bce-ab06-b3c273dfe9cf,2015-06-10T00:00:00+00:00,Jewell Loyd
292,292,Alysha,Clark,b478ebc6-8b1f-4d39-9707-048d24a88c26,F,0,0.0,0.0,0.0,0,6,2,1,2,0,0,1,Storm,0,0,45,16:00,4149,17839,1c310b95-0b91-4bce-ab06-b3c273dfe9cf,2015-06-10T00:00:00+00:00,Alysha Clark
313,313,Candice,Dupree,411a199b-df5a-4ce5-ad15-386dd17e3f4b,F,12,0.0,0.4,0.0,1,4,0,1,1,0,0,0,Mercury,0,0,57,35:00:00,5817,19812,190037cb-4223-4948-9695-6e1ce0ad4815,2015-06-11T23:00:00+00:00,Candice Dupree
317,317,Leilani,Mitchell,7b8d55dd-2f12-46fb-9051-ade709b96dd5,G,2,100.0,0.0,0.0,3,3,1,0,2,0,0,0,Mercury,0,0,57,27:00:00,5817,19812,190037cb-4223-4948-9695-6e1ce0ad4815,2015-06-11T23:00:00+00:00,Leilani Mitchell
319,319,Diana,Taurasi,d9bce234-085d-4b85-be5f-9b7020b82e69,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mercury,0,0,57,0,5817,19812,190037cb-4223-4948-9695-6e1ce0ad4815,2015-06-11T23:00:00+00:00,Diana Taurasi
324,324,Jasmine,Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,G,6,0.0,0.5,0.0,4,1,0,0,2,0,0,2,Sun,1,1,67,28:00:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Jasmine Thomas
325,325,Alyssa,Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,F,14,75.0,0.33299999999999996,0.0,0,8,3,2,0,0,0,2,Sun,1,1,67,34:00:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Alyssa Thomas
334,334,Elizabeth,Williams,c8672dba-0deb-4cf1-8304-82365865edaa,C-F,0,0.0,0.0,0.0,0,2,0,0,2,0,0,0,Sun,1,1,67,10:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Elizabeth Williams
335,335,Chelsea,Gray,ca6b54e3-612d-4523-9582-b88e675f58de,G,3,100.0,0.0,0.0,0,1,0,0,0,0,0,1,Sun,1,1,67,11:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Chelsea Gray
337,337,Allie,Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sky,0,0,65,0,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Allie Quigley
338,338,Betnijah,Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,G-F,0,0.0,0.0,0.0,1,8,1,1,6,0,0,1,Sky,0,0,65,15:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Betnijah Laney
342,342,Courtney,Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,G,13,100.0,0.7140000000000001,0.0,4,4,0,0,5,0,0,0,Sky,0,0,65,28:00:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Courtney Vandersloot
345,345,Cheyenne,Parker,4a97e708-71e5-4d58-b1e8-883adf027925,F,2,0.0,0.33299999999999996,0.0,0,3,3,0,1,0,0,0,Sky,0,0,65,7:00,4523,9518,43fee822-936f-42f6-bf82-e23ad07a747e,2015-06-11T23:00:00+00:00,Cheyenne Parker
371,371,Dearica,Hamby,693b6941-8999-40bb-a3a2-b77c34f1dc78,F,17,100.0,0.667,50.0,2,6,2,0,3,0,0,0,Stars,0,0,69,31:00:00,4308,18047,85f3b011-4b09-4ae0-9ddc-e3f4718f03d0,2015-06-11T23:00:00+00:00,Dearica Hamby
387,387,Damiris,Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,F,10,100.0,0.667,0.0,2,4,1,0,2,0,0,0,Lynx,1,1,94,21:00,8132,19356,485f6c2b-feb8-4573-a4c6-9de1299b1dab,2015-06-12T00:00:00+00:00,Damiris Dantas
391,391,Jewell,Loyd,0825c65d-b903-4dd3-8206-e5f7d31bb2b8,G,6,0.0,0.3,0.0,3,1,0,0,2,0,0,0,Storm,0,0,70,22:00,8132,19356,485f6c2b-feb8-4573-a4c6-9de1299b1dab,2015-06-12T00:00:00+00:00,Jewell Loyd
398,398,Alysha,Clark,b478ebc6-8b1f-4d39-9707-048d24a88c26,F,7,100.0,1.0,0.0,0,2,0,0,3,0,0,1,Storm,0,0,70,23:00,8132,19356,485f6c2b-feb8-4573-a4c6-9de1299b1dab,2015-06-12T00:00:00+00:00,Alysha Clark
405,405,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,2,0.0,0.25,0.0,0,5,1,0,4,0,0,1,Fever,1,1,77,17:00,6987,18165,4720db4c-bd9e-417d-ba69-0dd349d38a19,2015-06-12T23:00:00+00:00,Layshia Clarendon
406,406,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,2,0.0,0.25,0.0,0,2,1,0,1,0,0,2,Fever,1,1,77,13:00,6987,18165,4720db4c-bd9e-417d-ba69-0dd349d38a19,2015-06-12T23:00:00+00:00,Natasha Howard
418,418,Leilani,Mitchell,7b8d55dd-2f12-46fb-9051-ade709b96dd5,G,25,100.0,0.25,70.0,0,1,0,2,3,0,0,2,Mercury,0,0,74,31:00:00,6987,18165,4720db4c-bd9e-417d-ba69-0dd349d38a19,2015-06-12T23:00:00+00:00,Leilani Mitchell
423,423,Diana,Taurasi,d9bce234-085d-4b85-be5f-9b7020b82e69,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mercury,0,0,74,0,6987,18165,4720db4c-bd9e-417d-ba69-0dd349d38a19,2015-06-12T23:00:00+00:00,Diana Taurasi
427,427,Candice,Dupree,411a199b-df5a-4ce5-ad15-386dd17e3f4b,F,21,87.5,0.5379999999999999,0.0,2,5,1,1,4,0,0,3,Mercury,0,0,74,36:00:00,6987,18165,4720db4c-bd9e-417d-ba69-0dd349d38a19,2015-06-12T23:00:00+00:00,Candice Dupree
434,434,Emma,Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,C,21,100.0,0.727,0.0,1,9,2,0,2,0,0,1,Mystics,1,0,61,31:00:00,7248,20290,ea6db48f-1611-4097-b882-baf9e03927a2,2015-06-12T23:00:00+00:00,Emma Meesseman
454,454,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,8,50.0,1.0,33.3,1,2,1,1,2,0,0,1,Fever,1,0,72,24:00:00,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Layshia Clarendon
455,455,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,1,0,72,0,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Natasha Howard
465,465,Courtney,Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,G,14,0.0,0.5710000000000001,66.7,4,0,0,3,2,0,0,3,Sky,0,1,98,26:00:00,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Courtney Vandersloot
468,468,Allie,Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sky,0,1,98,0,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Allie Quigley
469,469,Betnijah,Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,G-F,11,100.0,0.667,0.0,0,2,0,0,2,0,0,1,Sky,0,1,98,13:00,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Betnijah Laney
471,471,Cheyenne,Parker,4a97e708-71e5-4d58-b1e8-883adf027925,F,0,0.0,0.0,0.0,0,3,0,0,2,0,0,1,Sky,0,1,98,14:00,6433,18165,8a1ce526-276b-4a30-b093-da3e785f52dd,2015-06-14T17:00:00+00:00,Cheyenne Parker
478,478,Diana,Taurasi,d9bce234-085d-4b85-be5f-9b7020b82e69,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mercury,1,1,81,0,9294,18055,3bf2083f-2a04-4645-a133-e65a1efb243b,2015-06-14T19:00:00+00:00,Diana Taurasi
485,485,Candice,Dupree,411a199b-df5a-4ce5-ad15-386dd17e3f4b,F,16,100.0,0.467,0.0,1,5,1,1,2,0,1,0,Mercury,1,1,81,36:00:00,9294,18055,3bf2083f-2a04-4645-a133-e65a1efb243b,2015-06-14T19:00:00+00:00,Candice Dupree
487,487,Leilani,Mitchell,7b8d55dd-2f12-46fb-9051-ade709b96dd5,G,11,0.0,0.16699999999999998,60.0,7,2,0,3,3,0,0,3,Mercury,1,1,81,31:00:00,9294,18055,3bf2083f-2a04-4645-a133-e65a1efb243b,2015-06-14T19:00:00+00:00,Leilani Mitchell
491,491,Damiris,Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,F,2,0.0,0.33299999999999996,0.0,1,4,1,0,4,0,0,2,Lynx,0,0,66,17:00,9294,18055,3bf2083f-2a04-4645-a133-e65a1efb243b,2015-06-14T19:00:00+00:00,Damiris Dantas
505,505,Jasmine,Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,G,17,100.0,0.429,100.0,5,2,1,0,2,0,0,4,Sun,1,1,82,19:00,5520,9518,ace51453-5f2c-41f8-b1fd-7d25f77c7d75,2015-06-14T19:00:00+00:00,Jasmine Thomas
506,506,Alyssa,Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,F,10,100.0,0.5,0.0,2,4,3,2,1,0,0,3,Sun,1,1,82,31:00:00,5520,9518,ace51453-5f2c-41f8-b1fd-7d25f77c7d75,2015-06-14T19:00:00+00:00,Alyssa Thomas
510,510,Chelsea,Gray,ca6b54e3-612d-4523-9582-b88e675f58de,G,9,0.0,0.75,25.0,3,2,0,2,2,0,0,3,Sun,1,1,82,20:00,5520,9518,ace51453-5f2c-41f8-b1fd-7d25f77c7d75,2015-06-14T19:00:00+00:00,Chelsea Gray
512,512,Elizabeth,Williams,c8672dba-0deb-4cf1-8304-82365865edaa,C-F,2,0.0,1.0,0.0,1,1,0,0,0,0,0,0,Sun,1,1,82,7:00,5520,9518,ace51453-5f2c-41f8-b1fd-7d25f77c7d75,2015-06-14T19:00:00+00:00,Elizabeth Williams
530,530,Dearica,Hamby,693b6941-8999-40bb-a3a2-b77c34f1dc78,F,8,50.0,0.33299999999999996,0.0,0,6,1,1,2,0,0,4,Stars,1,0,62,23:00,7305,9800,05193803-6f3b-49e0-a113-5d7e1bd99994,2015-06-14T20:30:00+00:00,Dearica Hamby
548,548,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,8,66.7,0.33299999999999996,0.0,2,4,1,0,2,0,0,0,Shock,0,1,73,20:00,7305,9800,05193803-6f3b-49e0-a113-5d7e1bd99994,2015-06-14T20:30:00+00:00,Riquna Williams
561,561,Nneka,Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sparks,1,0,54,0,10205,19060,b408b01e-2062-4247-86aa-6e1f129f7aab,2015-06-14T21:00:00+00:00,Nneka Ogwumike
574,574,Jewell,Loyd,0825c65d-b903-4dd3-8206-e5f7d31bb2b8,G,10,100.0,0.5,0.0,2,3,0,2,2,0,0,2,Storm,0,1,60,23:00,10205,19060,b408b01e-2062-4247-86aa-6e1f129f7aab,2015-06-14T21:00:00+00:00,Jewell Loyd
576,576,Alysha,Clark,b478ebc6-8b1f-4d39-9707-048d24a88c26,F,7,100.0,1.0,50.0,1,8,0,0,2,0,0,1,Storm,0,1,60,23:00,10205,19060,b408b01e-2062-4247-86aa-6e1f129f7aab,2015-06-14T21:00:00+00:00,Alysha Clark
598,598,Emma,Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,C,2,0.0,0.16699999999999998,0.0,2,5,1,3,3,0,0,3,Mystics,0,1,74,28:00:00,7629,19812,772209b5-e1ab-4469-8482-a0d262a7fde1,2015-06-14T22:00:00+00:00,Emma Meesseman
616,616,Natasha,Howard,46479ac7-5745-40d2-abc8-7c660ea759e4,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,0,1,90,0,9814,18047,76f1fcdf-f2dc-4da1-b788-9c6f1f62c208,2015-06-16T16:00:00+00:00,Natasha Howard
624,624,Layshia,Clarendon,b77b40a2-5844-48c0-bae2-5067516b2acf,G,6,0.0,0.75,0.0,7,2,1,0,1,0,0,4,Fever,0,1,90,19:00,9814,18047,76f1fcdf-f2dc-4da1-b788-9c6f1f62c208,2015-06-16T16:00:00+00:00,Layshia Clarendon
634,634,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,16,100.0,0.444,40.0,2,3,0,2,3,0,0,2,Shock,1,1,88,25:00:00,5005,17839,b090eda1-79cc-4828-9ba6-7789625606b5,2015-06-16T16:30:00+00:00,Riquna Williams
642,642,Dearica,Hamby,693b6941-8999-40bb-a3a2-b77c34f1dc78,F,7,50.0,0.3,0.0,2,5,1,0,2,0,0,1,Stars,0,0,61,21:00,5005,17839,b090eda1-79cc-4828-9ba6-7789625606b5,2015-06-16T16:30:00+00:00,Dearica Hamby
652,652,Alysha,Clark,b478ebc6-8b1f-4d39-9707-048d24a88c26,F,11,60.0,0.8,0.0,0,2,1,0,2,0,0,1,Storm,1,0,58,25:00:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Alysha Clark
658,658,Jewell,Loyd,0825c65d-b903-4dd3-8206-e5f7d31bb2b8,G,8,100.0,0.6,0.0,0,1,1,1,2,0,0,3,Storm,1,0,58,22:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Jewell Loyd
666,666,Jasmine,Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,G,9,75.0,0.375,0.0,3,2,0,2,3,0,0,2,Sun,0,1,79,22:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Jasmine Thomas
669,669,Chelsea,Gray,ca6b54e3-612d-4523-9582-b88e675f58de,G,16,0.0,0.4,100.0,2,0,0,2,4,0,0,3,Sun,0,1,79,17:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Chelsea Gray
676,676,Elizabeth,Williams,c8672dba-0deb-4cf1-8304-82365865edaa,C-F,4,100.0,0.33299999999999996,0.0,1,2,1,1,1,0,0,0,Sun,0,1,79,14:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Elizabeth Williams
677,677,Alyssa,Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,F,11,87.5,0.4,0.0,2,6,2,4,2,0,0,1,Sun,0,1,79,24:00:00,4941,17072,d100c505-98eb-455b-9f04-b19af3109d60,2015-06-17T02:00:00+00:00,Alyssa Thomas
683,683,Nneka,Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sparks,1,0,52,0,5025,19060,c6580d81-a7c7-4030-8f49-1fe3f4957a35,2015-06-17T02:30:00+00:00,Nneka Ogwumike
690,690,Damiris,Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,F,2,0.0,0.5,0.0,0,1,1,0,1,0,0,3,Lynx,0,1,67,10:00,5025,19060,c6580d81-a7c7-4030-8f49-1fe3f4957a35,2015-06-17T02:30:00+00:00,Damiris Dantas
712,712,Tianna,Hawkins,91d7d573-663f-4d1d-98f7-64644f25a896,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mystics,1,0,82,0,7099,20290,8d49e3cf-53ff-46e6-9af9-0e9defd81a4e,2015-06-19T23:00:00+00:00,Tianna Hawkins
715,715,Emma,Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,C,24,100.0,0.733,0.0,0,10,4,1,5,0,0,2,Mystics,1,0,82,33:00:00,7099,20290,8d49e3cf-53ff-46e6-9af9-0e9defd81a4e,2015-06-19T23:00:00+00:00,Emma Meesseman
723,723,Riquna,Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,G,22,100.0,0.667,50.0,4,0,0,3,4,0,0,2,Shock,0,1,86,27:00:00,7099,20290,8d49e3cf-53ff-46e6-9af9-0e9defd81a4e,2015-06-19T23:00:00+00:00,Riquna Williams
