,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date
0,Paris,Kea,ad7b31bf-2369-474c-9a64-cfd5b81fce23,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,1,0,83,00:00,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
1,Stephanie,Mavunga,f53ca4ad-4469-46a4-b4f3-8aeb6f922962,F,7,75.0,66.7,0.0,0,6,2,0,2,0,0,1,Fever,1,0,83,12:28,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
2,Erica,McCall,912c567d-c96d-4018-9e3d-59714df3c900,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,1,0,83,00:00,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
3,Natalie,Achonwa,b173abc9-12ff-4248-8983-06a87eaff340,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,1,0,83,00:00,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
4,Shenise,Johnson,4548dbb5-f950-4ec2-8cc2-0ba120fa8678,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Fever,1,0,83,00:00,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
5,Kelsey,Mitchell,5219e39b-9341-4dfb-a43c-793723729162,G,16,75.0,33.3,40.0,5,6,0,0,5,0,0,2,Fever,1,0,83,24:14,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
6,Betnijah,Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,G-F,0,0.0,0.0,0.0,0,2,1,2,2,0,0,1,Fever,1,0,83,20:25,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
7,Candice,Dupree,411a199b-df5a-4ce5-ad15-386dd17e3f4b,F,17,50.0,47.1,0.0,4,6,2,0,1,0,0,0,Fever,1,0,83,40:00,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
8,Erica,Wheeler,28361fd5-c935-4025-a709-2c488f53ed8c,G,3,0.0,0.0,33.3,1,2,0,1,1,0,0,2,Fever,1,0,83,15:23,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
9,Tiffany,Mitchell,100f94c5-3a62-4300-98bb-fe587522c2a6,G,9,0.0,75.0,50.0,2,3,0,0,3,0,0,3,Fever,1,0,83,34:36,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
10,Kennedy,Burke,06e88c3f-715d-41b2-9aee-6a013a37565f,F,7,87.5,0.0,0.0,2,2,1,1,2,0,0,2,Fever,1,0,83,25:20,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
11,Teaira,McCowan,db3ec44f-708c-4853-af9a-fc7c04407366,C,24,85.7,42.9,0.0,0,10,4,1,4,0,0,2,Fever,1,0,83,27:31,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
12,Nneka,Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,F,20,66.7,69.2,0.0,1,8,2,2,4,0,0,1,Sparks,0,1,87,26:30,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
13,Candace,Parker,e2992444-14b7-4cc1-9880-a874e676d7fd,C,6,0.0,37.5,0.0,5,6,1,2,5,0,0,3,Sparks,0,1,87,32:17,5641,20000,25f4b4c5-24a9-47f6-aa9a-186bf4a4aa12,2019-08-29T23:00:00+00:00
